station_id,venue_count,avg_rating,avg_reviews
0013e5d100f68121835052a381ab2f23,20,4.225,29.55
0040082e616edec293c0c74fcbf825c4,20,4.415,303.9
00b7595b843f69c9041fca9e4e84700b,20,4.135,23.1
00c210cb99cf9d1b923c1548938aee56,20,4.3549999999999995,48.0
00c84f03ca5970eaa144ed6867d1e2b9,16,2.05625,3.1875
00d9a9cfbe247f789b2354e2f4251c14,20,3.65,11.15
00e29ec2eb64a7c141edf1729b02cfd0,20,4.26,193.6
014e10dba2d92bd20c826b88864dc6b6,20,4.220000000000001,113.2
01eb2ebf1d0478ffdc9ea49c43a4b7ae,20,3.845,14.75
01f9b7e63833ad61e80a7963e2ad9b25,20,3.585,11.0
02044f52405851c50980c20964349a5d,20,4.32,60.0
0217b73736addb107209816f03000a18,20,4.085,12.65
0243c740e1d4fe272e0c414cdd900c7d,20,3.995,9.5
0274ec7d6cd70a5f7e5fc21edc47b801,20,3.79,13.95
02e0f09887bab2491c3cf2e6d0b477e4,20,3.2600000000000002,3.75
03306a21cafcf901fa4a45504a834c72,20,4.455,23.2
035f64853a0a8204e33cb4a10898068e,20,4.38,173.25
0366a94e06c77055841607882a40a484,20,4.345000000000001,260.05
038c0e9e703623cef62123e5e5d4a5d2,20,4.42,61.15
03b603c4b20174089f79116554c9c199,20,4.2700000000000005,35.3
0443c94a529a06a28f0d1cc3f287b74f,20,3.3,4.75
0452673f5a00e6632a35b91e7aa195cb,20,4.045,56.35
04c57a547249150f2e0fea6c07bd3037,20,4.235,33.05
04ebd17e6953392a76c763787d4e8970,20,3.05,5.6
04f6eaaa0d7993020973687c13f41663,20,4.09,49.3
052eb3e7422cdd1cdc5d555cf8d05c98,20,4.470000000000001,588.0
05b2ac429b1d77afa9c0d51ebaf1e9cf,20,1.985,2.15
05b5b355a4772304d10c45029d08deb0,20,4.135,183.75
05b85e5c98d9b14b3c7bcfbb8e60723b,20,4.045,15.75
05d84e15f73c72c1037f6c978bffe09e,20,3.8649999999999998,14.05
068b8514c4f15a3d822da22705e1906c,20,4.3149999999999995,139.5
069fc3a3bf5c8c49c7f8df245717a550,20,2.245,1.15
070d632adc6f3a46d7b038b5ec82abb6,20,4.1899999999999995,33.8
07151bf35f8c11187f1e4e0c0311b250,20,4.33,45.15
07641a3e5c3bf80c2cd594092c8cce3a,20,3.46,10.8
07c7d44ac97d0906af2e27a24fd56b13,20,3.2,9.7
07f0abcb10ec09105ffaa1d6cbb3ab14,20,4.404999999999999,285.95
0804af1a0607c5aff81fae6d4bab8fc7,20,4.265,93.9
087ebaee08c22fcceddf4c659711fc06,20,4.33,124.1
0960bf3c2e9be92bd03fd80c49bf720f,20,4.154999999999999,48.55
09cef143d6e60e226015fbdf71c2d345,20,4.46,244.1
09fe2c61fe35c26c42e876ca291f8984,20,4.3549999999999995,13.1
0a3aa715457ea0c777ddd396228eafd1,20,4.3100000000000005,337.8
